Time,PSI
10.09875,-17.704399999999993
10.12375,-17.684799999999996
10.125,-18.135599999999997
10.14875,-18.135599999999997
10.15,-17.782799999999995
10.175,-18.018
10.17625,-17.528000000000006
10.20125,-17.959199999999996
10.2025,-17.704399999999993
10.2275,-17.9396
10.22875,-18.3904
10.25375,-17.880799999999994
10.255,-17.861199999999997
10.27875,-17.92
10.28,-17.978799999999993
10.305,-18.174800000000005
10.30625,-17.8416
10.33125,-18.214
10.3325,-17.998400000000004
10.3575,-17.488799999999998
10.35875,-18.2924
10.38375,-17.763199999999998
10.385,-18.037599999999998
10.41,-17.508399999999995
10.41125,-17.9396
10.43625,-18.076800000000006
10.4375,-17.3712
10.46125,-17.763199999999998
10.4625,-17.782799999999995
10.48875,-17.880799999999994
10.49,-17.782799999999995
10.51625,-17.9396
10.5175,-17.3712
10.54375,-17.900400000000005
10.545,-18.057199999999995
10.57125,-17.724000000000004
10.5725,-16.861599999999996
10.59875,-17.586799999999997
10.6,-17.782799999999995
10.62625,-18.037599999999998
10.6275,-18.018
10.65375,-17.1948
10.655,-17.704399999999993
10.68125,-17.3908
10.6825,-17.900400000000005
10.7075,-18.116
10.70875,-17.998400000000004
10.735,-18.116
10.73625,-17.3712
10.7625,-17.861199999999997
10.76375,-18.2924
10.79,-17.449600000000004
10.79125,-17.8416
10.8175,-17.724000000000004
10.81875,-17.2928
10.84375,-17.900400000000005
10.845,-17.92
10.87125,-17.861199999999997
10.8725,-17.6652
10.89875,-17.410399999999996
10.9,-17.802400000000006
10.92625,-17.822000000000003
10.9275,-17.802400000000006
10.95375,-17.998400000000004
10.955,-17.802400000000006
10.98125,-17.8416
10.9825,-18.057199999999995
11.00875,-17.861199999999997
11.01,-17.586799999999997
11.03625,-17.704399999999993
11.0375,-17.880799999999994
11.06375,-17.528000000000006
11.065,-17.586799999999997
11.09125,-17.900400000000005
11.0925,-17.880799999999994
11.12,-17.92
11.12125,-18.4688
11.1475,-17.6456
11.14875,-17.528000000000006
11.175,-17.802400000000006
11.17625,-17.822000000000003
11.2025,-17.704399999999993
11.20375,-17.429999999999993
11.23,-17.6456
11.23125,-17.331999999999994
11.25875,-17.822000000000003
11.26,-18.116
11.285,-18.018
11.28625,-17.5672
11.3125,-18.018
11.31375,-18.018
11.34,-17.724000000000004
11.34125,-17.724000000000004
11.3675,-18.057199999999995
11.36875,-16.842
11.39625,-17.528000000000006
11.3975,-18.429599999999994
11.4225,-18.2924
11.42375,-17.586799999999997
11.45,-17.8416
11.45125,-17.6652
11.4775,-17.2928
11.47875,-17.7436
11.505,-17.2928
11.50625,-17.8416
11.53375,-18.037599999999998
11.535,-18.037599999999998
11.56,-17.449600000000004
11.56125,-17.704399999999993
11.58625,-17.6652
11.5875,-17.704399999999993
11.61375,-17.900400000000005
11.615,-17.822000000000003
11.64125,-18.018
11.6425,-18.547200000000004
11.67,-17.5672
11.67125,-17.606399999999994
11.6975,-18.4884
11.69875,-18.018
11.72375,-17.763199999999998
11.725,-17.978799999999993
11.75125,-16.802800000000005
11.7525,-18.076800000000006
11.77875,-17.861199999999997
11.78,-17.959199999999996
11.8075,-18.076800000000006
11.80875,-17.802400000000006
11.835,-17.861199999999997
11.83625,-17.6652
11.86,-17.7436
11.86125,-17.508399999999995
11.8875,-17.586799999999997
11.88875,-17.998400000000004
11.915,-17.978799999999993
11.91625,-17.724000000000004
11.94375,-17.175200000000004
11.945,-17.822000000000003
11.97125,-18.076800000000006
11.9725,-17.684799999999996
11.99625,-18.9392
11.9975,-18.057199999999995
12.02375,-17.822000000000003
12.025,-17.7436
12.05125,-17.802400000000006
12.0525,-18.723600000000005
12.08,-17.763199999999998
12.08125,-17.92
12.1075,-17.959199999999996
12.10875,-17.037999999999997
12.13375,-17.900400000000005
12.135,-17.312399999999997
12.16,-18.076800000000006
12.16125,-17.782799999999995
12.1875,-17.861199999999997
12.18875,-18.076800000000006
12.21625,-18.037599999999998
12.2175,-17.8416
12.24375,-17.802400000000006
12.245,-17.802400000000006
12.27,-17.880799999999994
12.27125,-17.880799999999994
12.29625,-17.6456
12.2975,-17.488799999999998
12.32375,-17.900400000000005
12.325,-18.018
12.3525,-18.037599999999998
12.35375,-17.763199999999998
12.38,-18.018
12.38125,-17.6652
12.4075,-17.9396
12.40875,-17.586799999999997
12.4325,-17.684799999999996
12.43375,-17.998400000000004
12.46,-17.861199999999997
12.46125,-17.998400000000004
12.48875,-17.449600000000004
12.49,-17.528000000000006
12.51625,-18.253199999999993
12.5175,-17.606399999999994
12.54375,-16.704800000000006
12.545,-17.782799999999995
12.56875,-17.92
12.57,-17.684799999999996
12.59625,-17.4692
12.5975,-17.7436
12.625,-17.92
12.62625,-17.7436
12.6525,-17.92
12.65375,-17.253600000000006
12.68,-17.978799999999993
12.68125,-17.6456
12.70625,-17.880799999999994
12.7075,-17.704399999999993
12.7325,-17.724000000000004
12.73375,-17.900400000000005
12.76125,-18.076800000000006
12.7625,-17.802400000000006
12.78875,-17.861199999999997
12.79,-17.9396
12.81625,-17.8416
12.8175,-18.155199999999994
12.8425,-16.9204
12.84375,-17.351600000000005
12.86875,-17.410399999999996
12.87,-17.998400000000004
12.8975,-17.4692
12.89875,-17.763199999999998
12.925,-17.959199999999996
12.92625,-18.429599999999994
12.9525,-17.606399999999994
12.95375,-17.880799999999994
12.98,-17.763199999999998
12.98125,-17.684799999999996
13.005,-17.92
13.00625,-18.076800000000006
13.03375,-17.4692
13.035,-17.704399999999993
13.06125,-18.272800000000004
13.0625,-19.0176
13.08875,-18.311999999999998
13.09,-17.92
13.11625,-17.508399999999995
13.1175,-17.880799999999994
13.14125,-17.92
13.1425,-17.724000000000004
13.17,-17.5672
13.17125,-17.822000000000003
13.1975,-17.586799999999997
13.19875,-17.8416
13.225,-17.704399999999993
13.22625,-17.763199999999998
13.2525,-17.684799999999996
13.25375,-17.880799999999994
13.27875,-17.6652
13.28,-17.331999999999994
13.30625,-17.684799999999996
13.3075,-16.881199999999993
13.33375,-17.6652
13.335,-17.978799999999993
13.36125,-17.528000000000006
13.3625,-18.037599999999998
13.38875,-17.684799999999996
13.39,-17.488799999999998
13.415,-17.6456
13.41625,-17.880799999999994
13.4425,-17.449600000000004
13.44375,-17.763199999999998
13.47,-18.135599999999997
13.47125,-18.018
13.4975,-18.018
13.49875,-17.782799999999995
13.525,-17.7436
13.52625,-17.822000000000003
13.5525,-18.2924
13.55375,-17.998400000000004
13.57875,-17.900400000000005
13.58,-17.998400000000004
13.60625,-17.802400000000006
13.6075,-17.92
13.63375,-18.311999999999998
13.635,-18.1944
13.66125,-17.606399999999994
13.6625,-17.547600000000003
13.68875,-17.959199999999996
13.69,-17.959199999999996
13.715,-17.92
13.71625,-17.822000000000003
13.7425,-16.959599999999995
13.74375,-18.253199999999993
13.77,-16.763599999999997
13.77125,-17.822000000000003
13.7975,-17.704399999999993
13.79875,-17.959199999999996
13.825,-18.331599999999995
13.82625,-17.724000000000004
13.85375,-17.9396
13.855,-18.116
13.88125,-17.6652
13.8825,-17.822000000000003
13.90875,-18.174800000000005
13.91,-18.1944
13.93625,-17.959199999999996
13.9375,-18.037599999999998
13.96375,-17.7436
13.97375,-17.8416
13.99125,-17.488799999999998
14.00125,-17.724000000000004
14.01875,-17.9396
14.02875,-17.724000000000004
14.04625,-17.724000000000004
14.05625,-17.429999999999993
14.07375,-17.9396
14.08375,-17.077200000000005
14.10125,-17.802400000000006
14.11125,-18.586399999999998
14.12875,-17.429999999999993
14.1375,-17.273200000000003
14.155,-17.998400000000004
14.165,-17.724000000000004
