Time,State,Lox High,Fuel High,Lox Dome,Fuel Dome,Lox Tank1,Lox Tank2,Fuel Tank1,Fuel Tank2,Pneumatics,Lox Inlet,Fuel Inlet,Fuel Injector,Chamber1,Chamber2
2411933.0,5.0,-392.12,-360.33,197.65,339.83,352.26,369.06,346.23,-76.56,-72.44,510.16,0.0,0.12,0.12,0.0
2412270.0,5.0,1687.37,-363.8,677.99,339.95,352.36,370.56,347.47,-75.71,-73.19,52.34,0.0,0.12,0.39,0.0
2412606.0,5.0,1686.61,1753.45,677.22,-74.77,352.18,-81.7,347.7,-75.68,-72.66,509.83,0.0,0.12,0.12,0.0
2412944.0,5.0,1685.65,-363.33,677.22,-74.85,352.62,370.72,347.34,-75.33,-72.27,510.04,0.0,0.12,0.12,0.0
2413281.0,5.0,1594.64,-367.09,677.36,-75.0,352.12,369.8,346.12,-75.96,-72.41,509.93,0.0,0.19,0.12,0.0
2413618.0,5.0,1680.78,1754.49,197.53,339.83,352.44,369.04,346.19,-75.91,-72.85,510.04,0.0,0.12,0.12,0.0
2413956.0,5.0,1683.64,-363.9,677.15,-74.54,352.72,369.9,347.34,-76.35,-72.72,509.11,0.0,0.12,0.12,0.0
2414292.0,5.0,1686.7,-363.62,678.09,340.17,352.02,370.2,347.17,357.28,349.48,509.38,0.0,0.12,0.12,0.0
2414628.0,5.0,1686.89,-362.21,198.1,-74.89,352.42,370.32,347.0,-76.29,349.32,510.65,0.0,0.12,0.12,0.0
2414964.0,5.0,1496.94,1673.17,197.83,340.12,351.62,370.66,346.4,-75.75,349.18,510.86,0.0,0.12,0.12,0.0
2415300.0,5.0,1681.06,-363.71,677.52,339.91,352.94,369.4,346.59,-76.02,-73.63,509.63,0.0,0.12,0.12,0.0
2415637.0,5.0,1685.94,-363.52,677.62,-74.49,351.88,370.22,347.01,357.15,-72.95,509.44,0.0,0.12,0.14,0.0
2415975.0,5.0,1686.23,-362.49,677.91,-74.33,351.94,370.52,347.15,357.02,349.3,509.83,0.0,0.12,0.12,0.0
2416311.0,5.0,1500.67,1671.2,677.36,339.87,351.74,370.2,346.1,-75.44,-72.54,509.91,0.0,0.12,0.12,0.0
2416647.0,5.0,1685.56,-579.68,677.09,339.7,352.84,368.88,346.23,-76.69,349.26,52.61,0.0,0.12,0.12,0.0
2416981.0,5.0,1686.23,-362.96,677.46,-74.52,352.6,370.6,346.98,-75.77,349.13,511.19,0.0,0.12,0.12,0.0
2417317.0,5.0,1686.42,1754.58,677.17,-75.0,352.68,370.38,346.9,-75.62,-73.36,509.36,0.0,0.12,0.33,0.21
2417654.0,5.0,1589.1,-364.74,677.05,339.2,352.22,369.26,346.44,-75.89,-72.68,509.91,0.0,0.12,0.12,0.0
2418047.0,5.0,1497.22,1673.45,677.72,339.37,351.76,369.36,345.64,-75.64,348.97,509.77,0.0,0.12,0.12,0.0
2418384.0,5.0,1683.74,-362.02,198.06,339.83,352.84,369.22,346.46,-75.92,-73.48,52.28,0.0,0.12,0.12,0.0
2418720.0,5.0,1688.62,-366.34,677.11,-74.83,352.84,370.28,347.19,-75.89,-72.76,509.38,0.0,0.12,0.12,0.0
2419055.0,5.0,1684.22,-361.17,677.4,339.98,351.94,370.62,346.88,-75.54,-72.72,52.01,0.0,0.12,0.12,0.0
